CC_4,penduduk,NAME_4
3303010001,5351,Kedungbenda
3303010002,2391,Bokol
3303010004,4119,Majatengah
3303010005,3749,Kedunglegok
3303010006,4657,Kemangkon
3303010007,5506,Panican
3303010008,2253,Bakulan
3303010009,2342,Karangkemiri
3303010010,3097,Pegandekan
3303010011,5348,Senon
3303010012,1975,Sumilir
3303010013,1565,Kalialang
3303010014,6630,Karangtengah
3303010015,1974,Muntang
3303010016,1875,Gambarsari
3303010017,6241,Toyareka
3303010018,3769,Jetis
3303010019,4055,Majasem
3303020001,3390,Tidu
3303020002,5699,Wirasaba
3303020003,8970,Kembangan
3303020004,6922,Cipawon
3303020005,7175,Karangcengis
3303020007,6903,Karangnangka
3303020008,7845,Kutawis
3303020009,4522,Kebutuh
3303020011,8181,Kedungjati
3303020012,8675,Bukateja
3303020013,4418,Majasari
3303020014,4762,Bajong
3303030001,6164,Bandingan
3303030002,3848,Lamuk
3303030003,3507,Sokanegara
3303030004,2560,Gumiwang
3303030005,3939,Krenceng
3303030006,2039,Nangkasawit
3303030007,4237,Pandansari
3303030008,6515,Kejobong
3303030009,7643,Langgar
3303030010,3780,Timbang
3303030011,3127,Nangkod
3303030012,2542,Kedarpan
3303030013,5036,Pangempon
3303040001,6479,Pasunggingan
3303040002,10743,Pengadegan
3303040003,2402,Karangjoho
3303040004,5125,Larangan
3303040005,2484,Panunggalan
3303040006,4799,Bedagas
3303040007,4391,Tumanggal
3303040008,5066,Tegalpingen
3303040009,2678,Tetel
3303050001,2806,Lamongan
3303050002,2714,Tejasari
3303050003,2143,Cilapar
3303050004,4073,Penolih
3303050005,5243,Sinduraja
3303050006,9130,Selakambang
3303050007,3613,Selanegara
3303050008,3379,Kaligondang
3303050009,1432,Brecek
3303050010,1266,Sempor Lor
3303050011,7262,Penaruban
3303050012,4808,Kalikajar
3303050013,3397,Kembaran Wetan
3303050014,5910,Slinga
3303050015,4213,Arenan
3303050016,3425,Sidanegara
3303050017,6856,Pager Andong
3303050018,5326,Sidareja
3303060001,9456,Bojong
3303060002,3039,Toyareja
3303060004,3727,Jatisaba
3303060005,3904,Bancar
3303060006,5163,Purbalingga Wetan
3303060007,4839,Penambongan
3303060008,6053,Purbalingga Kidul
3303060010,2720,Purbalingga Kulon
3303060011,6488,Purbalingga Lor
3303060012,4851,Kembaran Kulon
3303060013,7804,Wirasana
3303070001,2259,Jompo
3303070002,3224,Rabak
3303070003,3887,Blater
3303070004,2681,Sidakangen
3303070005,1538,Karangpetir
3303070006,4329,Grecol
3303070007,2454,Mewek
3303070008,2627,Karangmanyar
3303070009,6165,Kalikabong
3303070010,4267,Selabaya
3303070011,3615,Kalimanah Wetan
3303070012,2294,Kalimanah Kulon
3303070013,1954,Manduraga
3303070015,3562,Kedungwuluh
3303070016,5190,Klapasawit
3303070017,7585,Babakan
3303080001,1604,Karangpule
3303080002,2705,Kalitinggar
3303080003,2667,Sokawera
3303080004,3016,Padamara
3303080005,4191,Karangjambe
3303080006,6629,Bojanegara
3303080007,2839,Karangsentul
3303080008,4558,Gemuruh
3303080009,4346,Dawuhan
3303080010,3243,Prigi
3303080011,2344,Purbayasa
3303080012,4572,Karanggambas
3303080013,3532,Mipiran
3303080014,1829,Kalitinggar Kidul
3303090001,2919,Karanglewas
3303090002,3905,Munjul
3303090003,3589,Karangklesem
3303090004,5446,Kutasari
3303090005,5616,Sumingkir
3303090006,4425,Meri
3303090007,13193,Karangreja
3303090008,1652,Karangaren
3303090009,4958,Limbangan
3303090010,5869,Cendana
3303090011,6232,Candiwulan
3303090012,7625,Karangcegak
3303090013,6593,Candinata
3303090014,4823,Karangjengkol
3303100001,4161,Brobot
3303100002,3852,Gembong
3303100003,3197,Galuh
3303100004,6552,Banjaran
3303100005,4723,Patemon
3303100006,6633,Bojongsari
3303100007,5765,Kajongan
3303100008,4648,Karangbanjar
3303100009,4169,Beji
3303100010,4228,Pagedangan
3303100011,6178,Pekalongan
3303100012,4631,Metenggeng
3303100013,8590,Bumisari
3303110001,3207,Karangturi
3303110002,4849,Onje
3303110003,3759,Sindang
3303110004,5867,Tangkisan
3303110005,2713,Kradenan
3303110006,3129,Lambur
3303110007,4370,Selaganggeng
3303110008,3945,Mangunegara
3303110010,2737,Mrebet
3303110012,2872,Serayu Karanganyar
3303110013,4312,Serayu Larangan
3303110014,3128,Campakoah
3303110016,8924,Cipaku
3303110017,4574,Binangun
3303110018,7250,Pengalusan
3303110019,5638,Sangkanayu
3303120001,2651,Gandasuli
3303120002,2579,Kalapacung
3303120003,3422,Karangmalang
3303120004,4004,Banjarsari
3303120005,4875,Majapura
3303120006,6611,Bobotsari
3303120007,3807,Karangduren
3303120008,3267,Pakuncen
3303120009,4046,Karangtalun
3303120010,2281,Gunungkarang
3303120011,4153,Talagening
3303120012,3550,Tlagayasa
3303120013,3818,Dagan
3303120015,3731,Limbasari
3303120017,1498,Palumbungan Wetan
3303130001,8514,Serang
3303130002,7358,Kutabawa
3303130003,8072,Siwarak
3303130004,9593,Tlahab Lor
3303130005,5913,Tlahab Kidul
3303130007,4204,Gondang
3303131001,3288,Sirandu
3303131002,7045,Purbasari
3303131003,6073,Karangjambu
3303131004,5751,Sanguwatang
3303131005,4664,Jingkang
3303131006,3247,Danasari
3303140001,4799,Kaliori
3303140005,5225,Kalijaran
3303140006,5169,Karanganyar
3303140007,3626,Banjarkerta
3303140008,9607,Karanggedang
3303140009,1394,Kabunderan
3303140010,3551,Jambudesa
3303140016,4579,Maribaya
3303140017,3096,Bungkanel
3303140018,1617,Lumpang
3303140019,1756,Buara
3303140020,2337,Brakas
3303140021,4302,Ponjen
3303141002,4443,Kertanegara
3303141003,3714,Kasih
3303141005,1990,Condong
3303141006,2434,Karangpucung
3303141007,5088,Karangasem
3303141008,3384,Adiarsa
3303141009,4488,Langkap
3303141010,1810,Darma
3303141011,7360,Krangean
3303150001,6632,Karangsari
3303150002,3981,Pepedan
3303150003,4064,Pekiringan
3303150004,2650,Grantung
3303150005,4777,Rajawana
3303150006,3749,Tajug
3303150007,7571,Tamansari
3303150008,8537,Baleraksa
3303150009,12311,Tunjungmuli
3303150010,4273,Kramat
3303150011,5634,Sirau
3303160001,3793,Wlahar
3303160002,9112,Bantarbarang
3303160003,2114,Karangbawang
3303160004,5759,Gunungwuled
3303160005,9146,Losari
3303160007,2937,Wanogara Wetan
3303160008,2264,Wanogara Kulon
3303160009,10144,Makam
3303160010,10098,Sumampir
3303160011,4349,Tanalum
3303160012,9012,Panusupan
