power,neighbors,radius_m,RMSE,MAE
2,12,0,14.7968410847906,10.00159267290967
2,12,2000,14.902023205996656,10.102840202361419
2,10,0,15.090506278668144,10.196451213866322
2,10,2000,15.170565657460156,10.279097004918787
2,8,0,15.31735565680003,10.443502027927005
2,12,4000,15.336133515603494,10.67827557931297
2,8,2000,15.355282200534182,10.49242613142513
2,10,4000,15.545178724201223,10.800223219120829
2,8,4000,15.716230632323999,11.025964495487369
2,6,2000,15.887998045384565,10.841961241333356
2,6,0,15.905587495962164,10.840334316543931
2,6,4000,16.176408932488858,11.218557012003393
3,12,0,16.217120681698887,10.999829597356735
3,12,2000,16.270656647001704,11.05218899803707
3,10,0,16.468209524168202,11.15024935685193
3,10,2000,16.51303017678987,11.196344697437983
3,12,4000,16.568106500455997,11.46045258843537
3,8,0,16.685525261470858,11.332078961540498
3,8,2000,16.715426023044675,11.366611721335394
3,10,4000,16.771149636368218,11.563979637685511
3,8,4000,16.95904792455141,11.74656073274907
3,6,0,17.133203866287047,11.596424325584247
3,6,2000,17.140982252025825,11.612731211166103
3,6,4000,17.340306477629433,11.896778153512068
4,12,0,17.565792157391865,11.784508838319784
4,12,2000,17.590403636632157,11.809721679799003
4,10,0,17.7356413716971,11.889409759960657
4,10,2000,17.757957052815804,11.912984227660058
4,12,4000,17.803366277648944,12.124255080308556
4,8,0,17.897444221505186,12.029581558638958
4,8,2000,17.915509167203705,12.049907745161468
4,10,4000,17.94748255754288,12.198202328072584
4,8,4000,18.093791294637956,12.331073805101173
4,6,0,18.186780047990496,12.194720428140405
4,6,2000,18.19745993384719,12.209077043714911
4,6,4000,18.35204614578642,12.43057600159224
5,12,0,18.57195814379333,12.381148703374842
5,12,2000,18.582963069471397,12.393015305226637
5,10,0,18.668862050021723,12.447602727296486
5,10,2000,18.679349218913632,12.459100520710987
5,12,4000,18.748526107881062,12.629023253566746
5,8,0,18.770987753953023,12.5503805798982
5,8,2000,18.780416435184694,12.56107606671229
5,10,4000,18.8306511258526,12.676833244618646
5,8,4000,18.92311323310523,12.767234681396351
5,6,0,18.938361258252137,12.64881619687725
5,6,2000,18.945611517901934,12.657768117253744
5,6,4000,19.07484473628358,12.828344186839574
