No,CC_4,NAME_4,lon,lat,kejadian_count,penduduk,laju_100k
1,3303150003,PEKIRINGAN,109.469711,-7.321053,3,4064.0,73.82
2,3303060011,PURBALINGGA LOR,109.359873,-7.386665,3,6488.0,46.24
3,3303050012,KALIKAJAR,109.381204,-7.376978,2,4808.0,41.6
4,3303070007,MEWEK,109.366877,-7.410623,1,2454.0,40.75
5,3303080004,PADAMARA,109.31861,-7.383071,1,3016.0,33.16
6,3303080010,PRIGI,109.319867,-7.373553,1,3243.0,30.84
7,3303050008,KALIGONDANG,109.406155,-7.381248,1,3379.0,29.59
8,3303120003,KARANGMALANG,109.390724,-7.313382,1,3422.0,29.22
9,3303070015,KEDUNGWULUH,109.322736,-7.403082,1,3562.0,28.07
10,3303070011,KALIMANAH WETAN,109.343927,-7.414062,1,3615.0,27.66
11,3303060004,JATISABA,109.388013,-7.400976,1,3727.0,26.83
12,3303090002,MUNJUL,109.335835,-7.362283,1,3905.0,25.61
